Comment,Time
"Ha, ha, ha, ha.  Not going to punish women.  It’s ALL about punishing women —- the whole thing is about punishing women.  MAGA?  Bullsh*t.  I can’t wait for the day some important Republican wife/sister/daughter/woman is caught up in this stupidity.",2022-04-17T13:22:41Z
"I have a co-worker who is vehemently anti-abortion. His take on it is a simple 'if only the sluts would keep their legs together...'  As if there is no penis involved in the pregnancy equation. Like the good evangelical that he is, it is always the woman's fault.",2022-04-17T13:11:39Z
amazing actually holding a vulnerable woman responsible for murdering someone.,2022-04-17T13:07:33Z
🤨Trump's mother should have been 'punished' for giving birth to HIM! 🤔What about all those men who wear condoms? Should they be also arrested for preventing 'life?' How about charging those who give oral sex of cannibalism? 🤐Just as stupid.🙄,2022-04-17T13:01:44Z
Misogynous legislators 'MUST BE ERADICATED' in 'ALL STATES!',2022-04-17T13:01:01Z
"You're 15.  You're pregnant by your boyfriend.  You're scared to tell your parents.  You try to hide the pregnancy, right up till the end.  You have your baby in secret.  You dispose of the 'problem.'  It happens every day.  It's called neonaticide; the killing of a newborn.  This is another result of no access to safe and legal abortion.",2022-04-17T13:00:13Z
People: It’s HIPAA!,2022-04-17T12:50:49Z
"What about the day after pill is that illegal, if so WTH.",2022-04-17T12:48:42Z
"This is happening other places too. Oklahoma just passed a new abortion law. What can't we all just leave each other alone? Certain leaders only want those babies to grow up uneducated and ignorant so they will vote for them into adulthood. Yikes. I hate our world right now. Men, stay out of women's bodies please.",2022-04-17T12:39:13Z
"'That abortion should have burned me to death' 'https://www.youtube.com/watch?v=T9cil7pJUx8"">https://www.youtube.com/watch?v=T9cil7pJUx8'",2022-04-17T12:37:03Z
So do they behead her now or.....,2022-04-17T12:29:45Z
"They are so desperate to control you. It's all a ruse to maintain their stated goals of distraction, obstruction, delay, and disfunction in service to smoke screening the string pulling for fossil fuels.",2022-04-17T12:27:25Z
"Please, remind me, which century are we?",2022-04-17T12:24:16Z
"The stimulus for the UK's 1967 Abortion Act was the extraordinary numbers of women dying from illegal ('backstreet') procedures. Catastrophic haemorrhage, fulminant sepsis, bowel perforation... it was real carnage. Thank God legal abortion has never been threatened over here.",2022-04-17T12:17:37Z
"We Need to ABORT the Entire Republican Party, as it is anti-American!",2022-04-17T12:02:15Z
This is sick. How dare they arrest and prosecute women over our bodies not theirs? No wonder so many republicans support Putin. That’s what they want here,2022-04-17T11:56:53Z
How many months pregnant was she?  Anyone know.,2022-04-17T11:55:25Z
"So, Texas will start harassing women who have miscarriages next?",2022-04-17T11:40:15Z
"Barbie's Abortion 'Barbie's Abortion'''https://youtu.be/RW1f3yLHiY4"">https://youtu.be/RW1f3yLHiY4'",2022-04-17T11:34:23Z
What about guns ?  every day lives are ABORTED by someone pressing the trigger....,2022-04-17T11:26:43Z
"The Christian hypocrisy is that the Bible actually condones abortion. But of course, consistency and intellectual honesty is not compatible with their worldview.",2022-04-17T11:22:24Z
"An excellent business opportunity for a discerning entrepreneur. The U.S. is going to need a lot of red cloaks and white, lampshade style hats for their female population soon.",2022-04-17T11:20:29Z
"From what I read, a nurse brought this forward. What happened to HIPPA? She had no right to violate this woman's confidentiality around medical records.",2022-04-17T11:14:24Z
"Republicans hate women...only good for making babies, cooking dinner and being a servant. And they bring their bull crap religion into the mix. Our bodies, our choice. Disgusting laws by disgusting people for no other reason than power. Come into this century and keep your twisted sense of right and wrong to yourself.",2022-04-17T11:09:41Z
We CANNOT allow the minority of this country to DICTATE their outdated ideals onto the rest of us. PERIOD!!!!!!'WAKE UP PROGRESSIVES!!!'GET ACTIVATED!!!!,2022-04-17T11:05:27Z
So in the land of the free... women are not free to choose what they do with their own life or body. So much for the land of the free!!😒🙄,2022-04-17T11:03:07Z
They'll end up jailing women having periods next.,2022-04-17T10:49:41Z
"The woman should sue the State of Texas. This is so dark ages stupid, I am so near speechless out  of anger!!! How dare a State decide what a woman does with her OWN body!!!!",2022-04-17T10:38:26Z
Get rosaries away from ovaries.,2022-04-17T10:34:46Z
The thing is folks we've been here before and it turned out badly then as it will again.'F Republicans and F religion and it's zealots.,2022-04-17T09:56:25Z
Maybe ask Putin to have Texas as part of Russia? They’re idiots too.,2022-04-17T09:51:28Z
"This is profoundly disgusting. As my 95 year old great grandmother said 30 years ago..”laws don’t ban abortions, they just ban safe, legal abortions for women who don’t have rich families.” 'Another thing she told me was “a working man who votes for a republican is the same as a slave voting for his master.” Great Grandma Bertie was a wicked sharp woman and I am so proud that she got to meet my children, her great great grandchildren. She was such a remarkable person, I miss her terribly.",2022-04-17T09:28:45Z
