Comment,no_symbols,no_punctuation_and_symbols,no_urls,no_urls2,lower_case,expanded_contractions,expanded_contractions2,spelling,spelling2,tokens,lemmas,lemmas_no_stopwords
If enough Republicans gain power for a long enough time America would look exactly like Putins Russia No doubt about it this is just the tip of the iceberg unfortunately,If enough Republicans gain power for a long enough time America would look exactly like Putins Russia No doubt about it this is just the tip of the iceberg unfortunately,If enough Republicans gain power for a long enough time America would look exactly like Putins Russia No doubt about it this is just the tip of the iceberg unfortunately,If enough Republicans gain power for a long enough time America would look exactly like Putins Russia No doubt about it this is just the tip of the iceberg unfortunately,If enough Republicans gain power for a long enough time America would look exactly like Putins Russia No doubt about it this is just the tip of the iceberg unfortunately,if enough republicans gain power for a long enough time america would look exactly like putins russia no doubt about it this is just the tip of the iceberg unfortunately,if enough republicans gain power for a long enough time america would look exactly like putins russia no doubt about it this is just the tip of the iceberg unfortunately ,If enough Republicans gain power for a long enough time America would look exactly like Putins Russia No doubt about it this is just the tip of the iceberg unfortunately ,if enough republicans gain power for a long enough time america would look exactly like putins russia no doubt about it this is just the tip of the iceberg unfortunately ,If enough Republicans gain power for a long enough time America would look exactly like Putins Russia No doubt about it this is just the tip of the iceberg unfortunately ,"['if', 'enough', 'republicans', 'gain', 'power', 'for', 'a', 'long', 'enough', 'time', 'america', 'would', 'look', 'exactly', 'like', 'putins', 'russia', 'no', 'doubt', 'about', 'it', 'this', 'is', 'just', 'the', 'tip', 'of', 'the', 'iceberg', 'unfortunately']","['if', 'enough', 'republican', 'gain', 'power', 'for', 'a', 'long', 'enough', 'time', 'america', 'would', 'look', 'exactly', 'like', 'putin', 'russia', 'no', 'doubt', 'about', 'it', 'this', 'is', 'just', 'the', 'tip', 'of', 'the', 'iceberg', 'unfortunately']","['enough', 'republican', 'gain', 'power', 'long', 'enough', 'time', 'america', 'would', 'look', 'exactly', 'like', 'putin', 'russia', 'doubt', 'tip', 'iceberg', 'unfortunately']"
Arrest the DA ' Abbot for human rights abuses.,Arrest the DA ' Abbot for human rights abuses.,Arrest the DA  Abbot for human rights abuses,Arrest the DA ' Abbot for human rights abuses.,Arrest the DA  Abbot for human rights abuses,arrest the da  abbot for human rights abuses,arrest the da abbot for human rights abuses ,Arrest the DA ' Abbot for human rights abuses. ,arrest the da abbot for human rights abuses ,Arrest the DA ' Abbot for human rights abuses. ,"['arrest', 'the', 'da', 'abbot', 'for', 'human', 'rights', 'abuses']","['arrest', 'the', 'da', 'abbot', 'for', 'human', 'right', 'abuse']","['arrest', 'da', 'abbot', 'human', 'right', 'abuse']"
This is ridiculous! But if it did go to trial they should have to prove that she was over six weeks pregnant.,This is ridiculous! But if it did go to trial they should have to prove that she was over six weeks pregnant.,This is ridiculous But if it did go to trial they should have to prove that she was over six weeks pregnant,This is ridiculous! But if it did go to trial they should have to prove that she was over six weeks pregnant.,This is ridiculous But if it did go to trial they should have to prove that she was over six weeks pregnant,this is ridiculous but if it did go to trial they should have to prove that she was over six weeks pregnant,this is ridiculous but if it did go to trial they should have to prove that she was over six weeks pregnant ,This is ridiculous! But if it did go to trial they should have to prove that she was over six weeks pregnant. ,this is ridiculous but if it did go to trial they should have to prove that she was over six weeks pregnant ,This is ridiculous! But if it did go to trial they should have to prove that she was over six weeks pregnant. ,"['this', 'is', 'ridiculous', 'but', 'if', 'it', 'did', 'go', 'to', 'trial', 'they', 'should', 'have', 'to', 'prove', 'that', 'she', 'was', 'over', 'six', 'weeks', 'pregnant']","['this', 'is', 'ridiculous', 'but', 'if', 'it', 'did', 'go', 'to', 'trial', 'they', 'should', 'have', 'to', 'prove', 'that', 'she', 'wa', 'over', 'six', 'week', 'pregnant']","['ridiculous', 'go', 'trial', 'prove', 'wa', 'six', 'week', 'pregnant']"
"You were born in Argentina, and find hitlers policy’s not so bad.","You were born in Argentina, and find hitlers policy’s not so bad.",You were born in Argentina and find hitlers policys not so bad,"You were born in Argentina, and find hitlers policy’s not so bad.",You were born in Argentina and find hitlers policys not so bad,you were born in argentina and find hitlers policys not so bad,you we are born in argentina and find hitlers policys not so bad ,"You we are born in Argentina, and find hitlers policy’s not so bad. ",you we are born in argentina and find hitlers policys not so bad ,"You we are born in Argentina, and find hitlers policy’s not so bad. ","['you', 'we', 'are', 'born', 'in', 'argentina', 'and', 'find', 'hitlers', 'policys', 'not', 'so', 'bad']","['you', 'we', 'are', 'born', 'in', 'argentina', 'and', 'find', 'hitler', 'policy', 'not', 'so', 'bad']","['born', 'argentina', 'find', 'hitler', 'policy', 'bad']"
How about castration for all men who participate in an unplanned conception?,How about castration for all men who participate in an unplanned conception?,How about castration for all men who participate in an unplanned conception,How about castration for all men who participate in an unplanned conception?,How about castration for all men who participate in an unplanned conception,how about castration for all men who participate in an unplanned conception,how about castration for all men who participate in an unplanned conception ,How about castration for all men who participate in an unplanned conception? ,how about castration for all men who participate in an unplanned conception ,How about castration for all men who participate in an unplanned conception? ,"['how', 'about', 'castration', 'for', 'all', 'men', 'who', 'participate', 'in', 'an', 'unplanned', 'conception']","['how', 'about', 'castration', 'for', 'all', 'men', 'who', 'participate', 'in', 'an', 'unplanned', 'conception']","['castration', 'men', 'participate', 'unplanned', 'conception']"
and what is the punishment for the FATHER????  It is always the woman who must suffer.,and what is the punishment for the FATHER????  It is always the woman who must suffer.,and what is the punishment for the FATHER  It is always the woman who must suffer,and what is the punishment for the FATHER????  It is always the woman who must suffer.,and what is the punishment for the FATHER  It is always the woman who must suffer,and what is the punishment for the father  it is always the woman who must suffer,and what is the punishment for the father it is always the woman who must suffer ,and what is the punishment for the FATHER???? It is always the woman who must suffer. ,and what is the punishment for the father it is always the woman who must suffer ,and what is the punishment for the FATHER???? It is always the woman who must suffer. ,"['and', 'what', 'is', 'the', 'punishment', 'for', 'the', 'father', 'it', 'is', 'always', 'the', 'woman', 'who', 'must', 'suffer']","['and', 'what', 'is', 'the', 'punishment', 'for', 'the', 'father', 'it', 'is', 'always', 'the', 'woman', 'who', 'must', 'suffer']","['punishment', 'father', 'always', 'woman', 'must', 'suffer']"
"This is absurd, and it's all smoke and mirrors, so they can keep their actual agenda quiet.....","This is absurd, and it's all smoke and mirrors, so they can keep their actual agenda quiet.....",This is absurd and its all smoke and mirrors so they can keep their actual agenda quiet,"This is absurd, and it's all smoke and mirrors, so they can keep their actual agenda quiet.....",This is absurd and its all smoke and mirrors so they can keep their actual agenda quiet,this is absurd and its all smoke and mirrors so they can keep their actual agenda quiet,this is absurd and it is all smoke and mirrors so they can keep their actual agenda quiet ,"This is absurd, and it's all smoke and mirrors, so they can keep their actual agenda quiet..... ",this is absurd and it is all smoke and mirrors so they can keep their actual agenda quiet ,"This is absurd, and it's all smoke and mirrors, so they can keep their actual agenda quiet..... ","['this', 'is', 'absurd', 'and', 'it', 'is', 'all', 'smoke', 'and', 'mirrors', 'so', 'they', 'can', 'keep', 'their', 'actual', 'agenda', 'quiet']","['this', 'is', 'absurd', 'and', 'it', 'is', 'all', 'smoke', 'and', 'mirror', 'so', 'they', 'can', 'keep', 'their', 'actual', 'agenda', 'quiet']","['absurd', 'smoke', 'mirror', 'keep', 'actual', 'agenda', 'quiet']"
How far along was this woman?,How far along was this woman?,How far along was this woman,How far along was this woman?,How far along was this woman,how far along was this woman,how far along was this woman ,How far along was this woman? ,how far along was this woman ,How far along was this woman? ,"['how', 'far', 'along', 'was', 'this', 'woman']","['how', 'far', 'along', 'wa', 'this', 'woman']","['far', 'along', 'wa', 'woman']"
He never mentioned the industrial vacuum that was used 🤔,He never mentioned the industrial vacuum that was used 🤔,He never mentioned the industrial vacuum that was used ,He never mentioned the industrial vacuum that was used 🤔,He never mentioned the industrial vacuum that was used ,he never mentioned the industrial vacuum that was used ,he never mentioned the industrial vacuum that was used ,He never mentioned the industrial vacuum that was used 🤔 ,he never mentioned the industrial vacuum that was used ,He never mentioned the industrial vacuum that was used 🤔 ,"['he', 'never', 'mentioned', 'the', 'industrial', 'vacuum', 'that', 'was', 'used']","['he', 'never', 'mentioned', 'the', 'industrial', 'vacuum', 'that', 'wa', 'used']","['never', 'mentioned', 'industrial', 'vacuum', 'wa', 'used']"
What does this woman have to do with Trump?,What does this woman have to do with Trump?,What does this woman have to do with Trump,What does this woman have to do with Trump?,What does this woman have to do with Trump,what does this woman have to do with trump,what does this woman have to do with trump ,What does this woman have to do with Trump? ,what does this woman have to do with trump ,What does this woman have to do with Trump? ,"['what', 'does', 'this', 'woman', 'have', 'to', 'do', 'with', 'trump']","['what', 'doe', 'this', 'woman', 'have', 'to', 'do', 'with', 'trump']","['doe', 'woman', 'trump']"
Well welcome to Texastan,Well welcome to Texastan,Well welcome to Texastan,Well welcome to Texastan,Well welcome to Texastan,well welcome to texastan,we will welcome to texastan ,Well welcome to Texastan ,we will welcome to texastan ,Well welcome to Texastan ,"['we', 'will', 'welcome', 'to', 'texastan']","['we', 'will', 'welcome', 'to', 'texastan']","['welcome', 'texastan']"
"Yet from what I understand, they haven't put any plans in place for the over flow of newborns they are going to have, they already have an abundance of homeless kids sitting on the tax payers dime being warehoused and red hats could give a 💩about those kids.'Chemical abortives are gonna come intoplay shortly, what are they gonna do with all these young women sitting in jail with a bail that far exceeds a bail for a rapist (oh Abbott, yes you have men who rape! Ignorant FUCK) exceeds bail for possession of kid porn, exceeds bail for some murders...'Texas, you don't live in a bubble, this is gonna bite you!","Yet from what I understand, they haven't put any plans in place for the over flow of newborns they are going to have, they already have an abundance of homeless kids sitting on the tax payers dime being warehoused and red hats could give a 💩about those kids.'Chemical abortives are gonna come intoplay shortly, what are they gonna do with all these young women sitting in jail with a bail that far exceeds a bail for a rapist (oh Abbott, yes you have men who rape! Ignorant FUCK) exceeds bail for possession of kid porn, exceeds bail for some murders...'Texas, you don't live in a bubble, this is gonna bite you!",Yet from what I understand they havent put any plans in place for the over flow of newborns they are going to have they already have an abundance of homeless kids sitting on the tax payers dime being warehoused and red hats could give a about those kidsChemical abortives are gonna come intoplay shortly what are they gonna do with all these young women sitting in jail with a bail that far exceeds a bail for a rapist oh Abbott yes you have men who rape Ignorant FUCK exceeds bail for possession of kid porn exceeds bail for some murdersTexas you dont live in a bubble this is gonna bite you,"Yet from what I understand, they haven't put any plans in place for the over flow of newborns they are going to have, they already have an abundance of homeless kids sitting on the tax payers dime being warehoused and red hats could give a 💩about those kids.'Chemical abortives are gonna come intoplay shortly, what are they gonna do with all these young women sitting in jail with a bail that far exceeds a bail for a rapist (oh Abbott, yes you have men who rape! Ignorant FUCK) exceeds bail for possession of kid porn, exceeds bail for some murders...'Texas, you don't live in a bubble, this is gonna bite you!",Yet from what I understand they havent put any plans in place for the over flow of newborns they are going to have they already have an abundance of homeless kids sitting on the tax payers dime being warehoused and red hats could give a about those kidsChemical abortives are gonna come intoplay shortly what are they gonna do with all these young women sitting in jail with a bail that far exceeds a bail for a rapist oh Abbott yes you have men who rape Ignorant FUCK exceeds bail for possession of kid porn exceeds bail for some murdersTexas you dont live in a bubble this is gonna bite you,yet from what i understand they havent put any plans in place for the over flow of newborns they are going to have they already have an abundance of homeless kids sitting on the tax payers dime being warehoused and red hats could give a about those kidschemical abortives are gonna come intoplay shortly what are they gonna do with all these young women sitting in jail with a bail that far exceeds a bail for a rapist oh abbott yes you have men who rape ignorant fuck exceeds bail for possession of kid porn exceeds bail for some murderstexas you dont live in a bubble this is gonna bite you,yet from what i understand they have not put any plans in place for the over flow of newborns they are going to have they already have an abundance of homeless kids sitting on the tax payers dime being warehoused and red hats could give a about those kidschemical abortives are gonna come intoplay shortly what are they gonna do with all these young women sitting in jail with a bail that far exceeds a bail for a rapist oh abbott yes you have men who rape ignorant fuck exceeds bail for possession of kid porn exceeds bail for some murderstexas you do not live in a bubble this is gonna bite you ,"Yet from what I understand, they haven't put any plans in place for the over flow of newborns they are going to have, they already have an abundance of homeless kids sitting on the tax payers dime being warehoused and red hats could give a 💩about those kids.'Chemical abortives are gonna come intoplay shortly, what are they gonna do with all these young women sitting in jail with a bail that far exceeds a bail for a rapist (oh Abbott, yes you have men who rape! Ignorant FUCK) exceeds bail for possession of kid porn, exceeds bail for some murders...'Texas, you don't live in a bubble, this is gonna bite you! ",yet from what i understand they have not put any plans in place for the over flow of newborns they are going to have they already have an abundance of homeless kids sitting on the tax payers dime being warehoused and red hats could give a about those kidschemical abortives are gonna come intoplay shortly what are they gonna do with all these young women sitting in jail with a bail that far exceeds a bail for a rapist oh abbott yes you have men who rape ignorant fuck exceeds bail for possession of kid porn exceeds bail for some murderstexas you do not live in a bubble this is gonna bite you ,"Yet from what I understand, they haven't put any plans in place for the over flow of newborns they are going to have, they already have an abundance of homeless kids sitting on the tax payers dime being warehoused and red hats could give a 💩about those kids.'Chemical abortives are gonna come intoplay shortly, what are they gonna do with all these young women sitting in jail with a bail that far exceeds a bail for a rapist (oh Abbott, yes you have men who rape! Ignorant FUCK) exceeds bail for possession of kid porn, exceeds bail for some murders...'Texas, you don't live in a bubble, this is gonna bite you! ","['yet', 'from', 'what', 'i', 'understand', 'they', 'have', 'not', 'put', 'any', 'plans', 'in', 'place', 'for', 'the', 'over', 'flow', 'of', 'newborns', 'they', 'are', 'going', 'to', 'have', 'they', 'already', 'have', 'an', 'abundance', 'of', 'homeless', 'kids', 'sitting', 'on', 'the', 'tax', 'payers', 'dime', 'being', 'warehoused', 'and', 'red', 'hats', 'could', 'give', 'a', 'about', 'those', 'kidschemical', 'abortives', 'are', 'gon', 'na', 'come', 'intoplay', 'shortly', 'what', 'are', 'they', 'gon', 'na', 'do', 'with', 'all', 'these', 'young', 'women', 'sitting', 'in', 'jail', 'with', 'a', 'bail', 'that', 'far', 'exceeds', 'a', 'bail', 'for', 'a', 'rapist', 'oh', 'abbott', 'yes', 'you', 'have', 'men', 'who', 'rape', 'ignorant', 'fuck', 'exceeds', 'bail', 'for', 'possession', 'of', 'kid', 'porn', 'exceeds', 'bail', 'for', 'some', 'murderstexas', 'you', 'do', 'not', 'live', 'in', 'a', 'bubble', 'this', 'is', 'gon', 'na', 'bite', 'you']","['yet', 'from', 'what', 'i', 'understand', 'they', 'have', 'not', 'put', 'any', 'plan', 'in', 'place', 'for', 'the', 'over', 'flow', 'of', 'newborn', 'they', 'are', 'going', 'to', 'have', 'they', 'already', 'have', 'an', 'abundance', 'of', 'homeless', 'kid', 'sitting', 'on', 'the', 'tax', 'payer', 'dime', 'being', 'warehoused', 'and', 'red', 'hat', 'could', 'give', 'a', 'about', 'those', 'kidschemical', 'abortives', 'are', 'gon', 'na', 'come', 'intoplay', 'shortly', 'what', 'are', 'they', 'gon', 'na', 'do', 'with', 'all', 'these', 'young', 'woman', 'sitting', 'in', 'jail', 'with', 'a', 'bail', 'that', 'far', 'exceeds', 'a', 'bail', 'for', 'a', 'rapist', 'oh', 'abbott', 'yes', 'you', 'have', 'men', 'who', 'rape', 'ignorant', 'fuck', 'exceeds', 'bail', 'for', 'possession', 'of', 'kid', 'porn', 'exceeds', 'bail', 'for', 'some', 'murderstexas', 'you', 'do', 'not', 'live', 'in', 'a', 'bubble', 'this', 'is', 'gon', 'na', 'bite', 'you']","['yet', 'understand', 'put', 'plan', 'place', 'flow', 'newborn', 'going', 'already', 'abundance', 'homeless', 'kid', 'sitting', 'tax', 'payer', 'dime', 'warehoused', 'red', 'hat', 'could', 'give', 'kidschemical', 'abortives', 'gon', 'na', 'come', 'intoplay', 'shortly', 'gon', 'na', 'young', 'woman', 'sitting', 'jail', 'bail', 'far', 'exceeds', 'bail', 'rapist', 'oh', 'abbott', 'yes', 'men', 'rape', 'ignorant', 'fuck', 'exceeds', 'bail', 'possession', 'kid', 'porn', 'exceeds', 'bail', 'murderstexas', 'live', 'bubble', 'gon', 'na', 'bite']"
